,tweets,time
115,"All caught up on #HOTD 

I’m in no way surprised at the wedding. https://t.co/KZnDb4VXae",2022-09-22 05:04:46+00:00
116,Daddy Daemon is arriving #hotd,2022-09-22 05:02:25+00:00
117,"Bruh are you kidding me 🤯😫😤🤬 just watched ep 5 of @HouseofDragon #HOTD you guys are killing me! Wtf even just happened 😅 WHY DID SER CRISTEN DO THAT!? WHY DID DAEMON DO WHAT HE DID!?!? &amp; went on, had the wedding w/ fresh blood on the ground 🤯 REALLY?! #stilllikeittho 😳",2022-09-22 05:01:07+00:00
118,Eu to chocado em tantos níveis desse ep 5 de #hotd que eu nem sei o que dizer… literal 50 minutos de falazada e nos últimos 10 minutos uma tensão SEM FIM…,2022-09-22 04:55:35+00:00
119,"am absolutely loving that #HOTD  show is the true events to what happened, and F&amp;B is just from the POV of certain characters. So not everything in the book is entirely accurate to an extent. Smart idea.",2022-09-22 04:55:22+00:00
120,"Everyone saying this is cute (it is) but this is making me very sad for Sunday😀😀🫠
#HouseOfTheDragon #HOTD https://t.co/6FOCkzFPh9",2022-09-22 04:54:30+00:00
121,"He's the blood of the Dragon 😂
#HouseOftheDragon    #HOTD https://t.co/F48kjyURIl",2022-09-22 04:54:10+00:00
122,"Rhaenyra looking a bit jealous 
#houseofthedragon #HOTD https://t.co/zC6KAnt46x",2022-09-22 04:52:17+00:00
123,"Claim yours now!!

#HOTD #HOTDA #FreeMint #NFT #ETH https://t.co/6GLsZWgArV",2022-09-22 04:51:22+00:00
124,"Matt Daemon
#HOTD https://t.co/5nfIibT896",2022-09-22 04:46:32+00:00
125,"This still will forever be known to me as the 
""Battle of the Side Dicks"", but ""The Green Wedding"" works too. #TheGreenWedding #HouseOfTheDragonHBO #HOTD #HOTDSpoilers #HouseOfTheDragonEp5  #HouseOfTheDragon #HouseOfDragon #BattleOfTheSideDicks #GameOfThrones https://t.co/76HlOtC9AN",2022-09-22 04:46:02+00:00
126,Scrams like a pterodactyl. This is my family y’all. #DemDragons #DemThrones #HouseoftheDragon Daemon looking like a real #HotD https://t.co/8ROxPANJZr,2022-09-22 04:45:42+00:00
127,Why yes I would like to punch you in the face #HOTD https://t.co/yzXHtLxIR1,2022-09-22 04:40:53+00:00
128,"Gente, sério, se for pra ir na contramão de qualquer direito cívil, humano, e ir de encontro ao códico penal, eu fico com o Daemon e a Rhaenyra sim, e outra coisa, que coisa feia um Targaryen de verde, no tempo do reinado da casa #HouseOfTheDragonHBO #HOTD https://t.co/SqSWAfkLVo",2022-09-22 04:37:27+00:00
